band_id,wavelength_nm,response
B01,300.0,0.0
B01,301.0,0.0
B01,302.0,0.0
B01,303.0,0.0
B01,304.0,0.0
B01,305.0,0.0
B01,306.0,0.0
B01,307.0,0.0
B01,308.0,0.0
B01,309.0,0.0
B01,310.0,0.0
B01,311.0,0.0
B01,312.0,0.0
B01,313.0,0.0
B01,314.0,0.0
B01,315.0,0.0
B01,316.0,0.0
B01,317.0,0.0
B01,318.0,0.0
B01,319.0,0.0
B01,320.0,0.0
B01,321.0,0.0
B01,322.0,0.0
B01,323.0,0.0
B01,324.0,0.0
B01,325.0,0.0
B01,326.0,0.0
B01,327.0,0.0
B01,328.0,0.0
B01,329.0,0.0
B01,330.0,0.0
B01,331.0,0.0
B01,332.0,0.0
B01,333.0,0.0
B01,334.0,0.0
B01,335.0,0.0
B01,336.0,0.0
B01,337.0,0.0
B01,338.0,0.0
B01,339.0,0.0
B01,340.0,0.0
B01,341.0,0.0
B01,342.0,0.0
B01,343.0,0.0
B01,344.0,0.0
B01,345.0,0.0
B01,346.0,0.0
B01,347.0,0.0
B01,348.0,0.0
B01,349.0,0.0
B01,350.0,0.0
B01,351.0,0.0
B01,352.0,0.0
B01,353.0,0.0
B01,354.0,0.0
B01,355.0,0.0
B01,356.0,0.0
B01,357.0,0.0
B01,358.0,0.0
B01,359.0,0.0
B01,360.0,0.0
B01,361.0,0.0
B01,362.0,0.0
B01,363.0,0.0
B01,364.0,0.0
B01,365.0,0.0
B01,366.0,0.0
B01,367.0,0.0
B01,368.0,0.0
B01,369.0,0.0
B01,370.0,0.0
B01,371.0,0.0
B01,372.0,0.0
B01,373.0,0.0
B01,374.0,0.0
B01,375.0,0.0
B01,376.0,0.0
B01,377.0,0.0
B01,378.0,0.0
B01,379.0,0.0
B01,380.0,0.0
B01,381.0,0.0
B01,382.0,0.0
B01,383.0,0.0
B01,384.0,0.0
B01,385.0,0.0
B01,386.0,0.0
B01,387.0,0.0
B01,388.0,0.0
B01,389.0,0.0
B01,390.0,0.0
B01,391.0,0.0
B01,392.0,0.0
B01,393.0,0.0
B01,394.0,0.0
B01,395.0,0.0
B01,396.0,0.0
B01,397.0,0.0
B01,398.0,0.0
B01,399.0,0.0
B01,400.0,0.0
B01,401.0,0.0
B01,402.0,0.0
B01,403.0,0.0
B01,404.0,0.0
B01,405.0,0.0
B01,406.0,0.0
B01,407.0,0.0
B01,408.0,0.0
B01,409.0,0.0
B01,410.0,0.0
B01,411.0,0.0062411
B01,412.0,0.01024045
B01,413.0,0.00402983
B01,414.0,0.00642179
B01,415.0,0.00552753
B01,416.0,0.0065525
B01,417.0,0.00409887
B01,418.0,0.006297
B01,419.0,0.00436742
B01,420.0,0.00233356
B01,421.0,0.00058162
B01,422.0,0.00202276
B01,423.0,0.00294328
B01,424.0,0.00485362
B01,425.0,0.00317041
B01,426.0,0.00237657
B01,427.0,0.00234612
B01,428.0,0.00440152
B01,429.0,0.01292397
B01,430.0,0.05001678
B01,431.0,0.18650104
B01,432.0,0.45441623
B01,433.0,0.72307877
B01,434.0,0.83999211
B01,435.0,0.86456334
B01,436.0,0.87472096
B01,437.0,0.89215296
B01,438.0,0.91090814
B01,439.0,0.92588017
B01,440.0,0.93924094
B01,441.0,0.94491826
B01,442.0,0.95078529
B01,443.0,0.96803023
B01,444.0,0.99939195
B01,445.0,1.0
B01,446.0,0.97548364
B01,447.0,0.96148351
B01,448.0,0.94986211
B01,449.0,0.91841452
B01,450.0,0.87989802
B01,451.0,0.80383677
B01,452.0,0.59752075
B01,453.0,0.30474132
B01,454.0,0.10798014
B01,455.0,0.0304465
B01,456.0,0.00885119
B01,457.0,0.0
B01,458.0,0.0
B01,459.0,0.0
B01,460.0,0.0
B01,461.0,0.0
B01,462.0,0.0
B01,463.0,0.0
B01,464.0,0.0
B01,465.0,0.0
B01,466.0,0.0
B01,467.0,0.0
B01,468.0,0.0
B01,469.0,0.0
B01,470.0,0.0
B01,471.0,0.0
B01,472.0,0.0
B01,473.0,0.0
B01,474.0,0.0
B01,475.0,0.0
B01,476.0,0.0
B01,477.0,0.0
B01,478.0,0.0
B01,479.0,0.0
B01,480.0,0.0
B01,481.0,0.0
B01,482.0,0.0
B01,483.0,0.0
B01,484.0,0.0
B01,485.0,0.0
B01,486.0,0.0
B01,487.0,0.0
B01,488.0,0.0
B01,489.0,0.0
B01,490.0,0.0
B01,491.0,0.0
B01,492.0,0.0
B01,493.0,0.0
B01,494.0,0.0
B01,495.0,0.0
B01,496.0,0.0
B01,497.0,0.0
B01,498.0,0.0
B01,499.0,0.0
B01,500.0,0.0
B01,501.0,0.0
B01,502.0,0.0
B01,503.0,0.0
B01,504.0,0.0
B01,505.0,0.0
B01,506.0,0.0
B01,507.0,0.0
B01,508.0,0.0
B01,509.0,0.0
B01,510.0,0.0
B01,511.0,0.0
B01,512.0,0.0
B01,513.0,0.0
B01,514.0,0.0
B01,515.0,0.0
B01,516.0,0.0
B01,517.0,0.0
B01,518.0,0.0
B01,519.0,0.0
B01,520.0,0.0
B01,521.0,0.0
B01,522.0,0.0
B01,523.0,0.0
B01,524.0,0.0
B01,525.0,0.0
B01,526.0,0.0
B01,527.0,0.0
B01,528.0,0.0
B01,529.0,0.0
B01,530.0,0.0
B01,531.0,0.0
B01,532.0,0.0
B01,533.0,0.0
B01,534.0,0.0
B01,535.0,0.0
B01,536.0,0.0
B01,537.0,0.0
B01,538.0,0.0
B01,539.0,0.0
B01,540.0,0.0
B01,541.0,0.0
B01,542.0,0.0
B01,543.0,0.0
B01,544.0,0.0
B01,545.0,0.0
B01,546.0,0.0
B01,547.0,0.0
B01,548.0,0.0
B01,549.0,0.0
B01,550.0,0.0
B01,551.0,0.0
B01,552.0,0.0
B01,553.0,0.0
B01,554.0,0.0
B01,555.0,0.0
B01,556.0,0.0
B01,557.0,0.0
B01,558.0,0.0
B01,559.0,0.0
B01,560.0,0.0
B01,561.0,0.0
B01,562.0,0.0
B01,563.0,0.0
B01,564.0,0.0
B01,565.0,0.0
B01,566.0,0.0
B01,567.0,0.0
B01,568.0,0.0
B01,569.0,0.0
B01,570.0,0.0
B01,571.0,0.0
B01,572.0,0.0
B01,573.0,0.0
B01,574.0,0.0
B01,575.0,0.0
B01,576.0,0.0
B01,577.0,0.0
B01,578.0,0.0
B01,579.0,0.0
B01,580.0,0.0
B01,581.0,0.0
B01,582.0,0.0
B01,583.0,0.0
B01,584.0,0.0
B01,585.0,0.0
B01,586.0,0.0
B01,587.0,0.0
B01,588.0,0.0
B01,589.0,0.0
B01,590.0,0.0
B01,591.0,0.0
B01,592.0,0.0
B01,593.0,0.0
B01,594.0,0.0
B01,595.0,0.0
B01,596.0,0.0
B01,597.0,0.0
B01,598.0,0.0
B01,599.0,0.0
B01,600.0,0.0
B01,601.0,0.0
B01,602.0,0.0
B01,603.0,0.0
B01,604.0,0.0
B01,605.0,0.0
B01,606.0,0.0
B01,607.0,0.0
B01,608.0,0.0
B01,609.0,0.0
B01,610.0,0.0
B01,611.0,0.0
B01,612.0,0.0
B01,613.0,0.0
B01,614.0,0.0
B01,615.0,0.0
B01,616.0,0.0
B01,617.0,0.0
B01,618.0,0.0
B01,619.0,0.0
B01,620.0,0.0
B01,621.0,0.0
B01,622.0,0.0
B01,623.0,0.0
B01,624.0,0.0
B01,625.0,0.0
B01,626.0,0.0
B01,627.0,0.0
B01,628.0,0.0
B01,629.0,0.0
B01,630.0,0.0
B01,631.0,0.0
B01,632.0,0.0
B01,633.0,0.0
B01,634.0,0.0
B01,635.0,0.0
B01,636.0,0.0
B01,637.0,0.0
B01,638.0,0.0
B01,639.0,0.0
B01,640.0,0.0
B01,641.0,0.0
B01,642.0,0.0
B01,643.0,0.0
B01,644.0,0.0
B01,645.0,0.0
B01,646.0,0.0
B01,647.0,0.0
B01,648.0,0.0
B01,649.0,0.0
B01,650.0,0.0
B01,651.0,0.0
B01,652.0,0.0
B01,653.0,0.0
B01,654.0,0.0
B01,655.0,0.0
B01,656.0,0.0
B01,657.0,0.0
B01,658.0,0.0
B01,659.0,0.0
B01,660.0,0.0
B01,661.0,0.0
B01,662.0,0.0
B01,663.0,0.0
B01,664.0,0.0
B01,665.0,0.0
B01,666.0,0.0
B01,667.0,0.0
B01,668.0,0.0
B01,669.0,0.0
B01,670.0,0.0
B01,671.0,0.0
B01,672.0,0.0
B01,673.0,0.0
B01,674.0,0.0
B01,675.0,0.0
B01,676.0,0.0
B01,677.0,0.0
B01,678.0,0.0
B01,679.0,0.0
B01,680.0,0.0
B01,681.0,0.0
B01,682.0,0.0
B01,683.0,0.0
B01,684.0,0.0
B01,685.0,0.0
B01,686.0,0.0
B01,687.0,0.0
B01,688.0,0.0
B01,689.0,0.0
B01,690.0,0.0
B01,691.0,0.0
B01,692.0,0.0
B01,693.0,0.0
B01,694.0,0.0
B01,695.0,0.0
B01,696.0,0.0
B01,697.0,0.0
B01,698.0,0.0
B01,699.0,0.0
B01,700.0,0.0
B01,701.0,0.0
B01,702.0,0.0
B01,703.0,0.0
B01,704.0,0.0
B01,705.0,0.0
B01,706.0,0.0
B01,707.0,0.0
B01,708.0,0.0
B01,709.0,0.0
B01,710.0,0.0
B01,711.0,0.0
B01,712.0,0.0
B01,713.0,0.0
B01,714.0,0.0
B01,715.0,0.0
B01,716.0,0.0
B01,717.0,0.0
B01,718.0,0.0
B01,719.0,0.0
B01,720.0,0.0
B01,721.0,0.0
B01,722.0,0.0
B01,723.0,0.0
B01,724.0,0.0
B01,725.0,0.0
B01,726.0,0.0
B01,727.0,0.0
B01,728.0,0.0
B01,729.0,0.0
B01,730.0,0.0
B01,731.0,0.0
B01,732.0,0.0
B01,733.0,0.0
B01,734.0,0.0
B01,735.0,0.0
B01,736.0,0.0
B01,737.0,0.0
B01,738.0,0.0
B01,739.0,0.0
B01,740.0,0.0
B01,741.0,0.0
B01,742.0,0.0
B01,743.0,0.0
B01,744.0,0.0
B01,745.0,0.0
B01,746.0,0.0
B01,747.0,0.0
B01,748.0,0.0
B01,749.0,0.0
B01,750.0,0.0
B01,751.0,0.0
B01,752.0,0.0
B01,753.0,0.0
B01,754.0,0.0
B01,755.0,0.0
B01,756.0,0.0
B01,757.0,0.0
B01,758.0,0.0
B01,759.0,0.0
B01,760.0,0.0
B01,761.0,0.0
B01,762.0,0.0
B01,763.0,0.0
B01,764.0,0.0
B01,765.0,0.0
B01,766.0,0.0
B01,767.0,0.0
B01,768.0,0.0
B01,769.0,0.0
B01,770.0,0.0
B01,771.0,0.0
B01,772.0,0.0
B01,773.0,0.0
B01,774.0,0.0
B01,775.0,0.0
B01,776.0,0.0
B01,777.0,0.0
B01,778.0,0.0
B01,779.0,0.0
B01,780.0,0.0
B01,781.0,0.0
B01,782.0,0.0
B01,783.0,0.0
B01,784.0,0.0
B01,785.0,0.0
B01,786.0,0.0
B01,787.0,0.0
B01,788.0,0.0
B01,789.0,0.0
B01,790.0,0.0
B01,791.0,0.0
B01,792.0,0.0
B01,793.0,0.0
B01,794.0,0.0
B01,795.0,0.0
B01,796.0,0.0
B01,797.0,0.0
B01,798.0,0.0
B01,799.0,0.0
B01,800.0,0.0
B01,801.0,0.0
B01,802.0,0.0
B01,803.0,0.0
B01,804.0,0.0
B01,805.0,0.0
B01,806.0,0.0
B01,807.0,0.0
B01,808.0,0.0
B01,809.0,0.0
B01,810.0,0.0
B01,811.0,0.0
B01,812.0,0.0
B01,813.0,0.0
B01,814.0,0.0
B01,815.0,0.0
B01,816.0,0.0
B01,817.0,0.0
B01,818.0,0.0
B01,819.0,0.0
B01,820.0,0.0
B01,821.0,0.0
B01,822.0,0.0
B01,823.0,0.0
B01,824.0,0.0
B01,825.0,0.0
B01,826.0,0.0
B01,827.0,0.0
B01,828.0,0.0
B01,829.0,0.0
B01,830.0,0.0
B01,831.0,0.0
B01,832.0,0.0
B01,833.0,0.0
B01,834.0,0.0
B01,835.0,0.0
B01,836.0,0.0
B01,837.0,0.0
B01,838.0,0.0
B01,839.0,0.0
B01,840.0,0.0
B01,841.0,0.0
B01,842.0,0.0
B01,843.0,0.0
B01,844.0,0.0
B01,845.0,0.0
B01,846.0,0.0
B01,847.0,0.0
B01,848.0,0.0
B01,849.0,0.0
B01,850.0,0.0
B01,851.0,0.0
B01,852.0,0.0
B01,853.0,0.0
B01,854.0,0.0
B01,855.0,0.0
B01,856.0,0.0
B01,857.0,0.0
B01,858.0,0.0
B01,859.0,0.0
B01,860.0,0.0
B01,861.0,0.0
B01,862.0,0.0
B01,863.0,0.0
B01,864.0,0.0
B01,865.0,0.0
B01,866.0,0.0
B01,867.0,0.0
B01,868.0,0.0
B01,869.0,0.0
B01,870.0,0.0
B01,871.0,0.0
B01,872.0,0.0
B01,873.0,0.0
B01,874.0,0.0
B01,875.0,0.0
B01,876.0,0.0
B01,877.0,0.0
B01,878.0,0.0
B01,879.0,0.0
B01,880.0,0.0
B01,881.0,0.0
B01,882.0,0.0
B01,883.0,0.0
B01,884.0,0.0
B01,885.0,0.0
B01,886.0,0.0
B01,887.0,0.0
B01,888.0,0.0
B01,889.0,0.0
B01,890.0,0.0
B01,891.0,0.0
B01,892.0,0.0
B01,893.0,0.0
B01,894.0,0.0
B01,895.0,0.0
B01,896.0,0.0
B01,897.0,0.0
B01,898.0,0.0
B01,899.0,0.0
B01,900.0,0.0
B01,901.0,0.0
B01,902.0,0.0
B01,903.0,0.0
B01,904.0,0.0
B01,905.0,0.0
B01,906.0,0.0
B01,907.0,0.0
B01,908.0,0.0
B01,909.0,0.0
B01,910.0,0.0
B01,911.0,0.0
B01,912.0,0.0
B01,913.0,0.0
B01,914.0,0.0
B01,915.0,0.0
B01,916.0,0.0
B01,917.0,0.0
B01,918.0,0.0
B01,919.0,0.0
B01,920.0,0.0
B01,921.0,0.0
B01,922.0,0.0
B01,923.0,0.0
B01,924.0,0.0
B01,925.0,0.0
B01,926.0,0.0
B01,927.0,0.0
B01,928.0,0.0
B01,929.0,0.0
B01,930.0,0.0
B01,931.0,0.0
B01,932.0,0.0
B01,933.0,0.0
B01,934.0,0.0
B01,935.0,0.0
B01,936.0,0.0
B01,937.0,0.0
B01,938.0,0.0
B01,939.0,0.0
B01,940.0,0.0
B01,941.0,0.0
B01,942.0,0.0
B01,943.0,0.0
B01,944.0,0.0
B01,945.0,0.0
B01,946.0,0.0
B01,947.0,0.0
B01,948.0,0.0
B01,949.0,0.0
B01,950.0,0.0
B01,951.0,0.0
B01,952.0,0.0
B01,953.0,0.0
B01,954.0,0.0
B01,955.0,0.0
B01,956.0,0.0
B01,957.0,0.0
B01,958.0,0.0
B01,959.0,0.0
B01,960.0,0.0
B01,961.0,0.0
B01,962.0,0.0
B01,963.0,0.0
B01,964.0,0.0
B01,965.0,0.0
B01,966.0,0.0
B01,967.0,0.0
B01,968.0,0.0
B01,969.0,0.0
B01,970.0,0.0
B01,971.0,0.0
B01,972.0,0.0
B01,973.0,0.0
B01,974.0,0.0
B01,975.0,0.0
B01,976.0,0.0
B01,977.0,0.0
B01,978.0,0.0
B01,979.0,0.0
B01,980.0,0.0
B01,981.0,0.0
B01,982.0,0.0
B01,983.0,0.0
B01,984.0,0.0
B01,985.0,0.0
B01,986.0,0.0
B01,987.0,0.0
B01,988.0,0.0
B01,989.0,0.0
B01,990.0,0.0
B01,991.0,0.0
B01,992.0,0.0
B01,993.0,0.0
B01,994.0,0.0
B01,995.0,0.0
B01,996.0,0.0
B01,997.0,0.0
B01,998.0,0.0
B01,999.0,0.0
B01,1000.0,0.0
B01,1001.0,0.0
B01,1002.0,0.0
B01,1003.0,0.0
B01,1004.0,0.0
B01,1005.0,0.0
B01,1006.0,0.0
B01,1007.0,0.0
B01,1008.0,0.0
B01,1009.0,0.0
B01,1010.0,0.0
B01,1011.0,0.0
B01,1012.0,0.0
B01,1013.0,0.0
B01,1014.0,0.0
B01,1015.0,0.0
B01,1016.0,0.0
B01,1017.0,0.0
B01,1018.0,0.0
B01,1019.0,0.0
B01,1020.0,0.0
B01,1021.0,0.0
B01,1022.0,0.0
B01,1023.0,0.0
B01,1024.0,0.0
B01,1025.0,0.0
B01,1026.0,0.0
B01,1027.0,0.0
B01,1028.0,0.0
B01,1029.0,0.0
B01,1030.0,0.0
B01,1031.0,0.0
B01,1032.0,0.0
B01,1033.0,0.0
B01,1034.0,0.0
B01,1035.0,0.0
B01,1036.0,0.0
B01,1037.0,0.0
B01,1038.0,0.0
B01,1039.0,0.0
B01,1040.0,0.0
B01,1041.0,0.0
B01,1042.0,0.0
B01,1043.0,0.0
B01,1044.0,0.0
B01,1045.0,0.0
B01,1046.0,0.0
B01,1047.0,0.0
B01,1048.0,0.0
B01,1049.0,0.0
B01,1050.0,0.0
B01,1051.0,0.0
B01,1052.0,0.0
B01,1053.0,0.0
B01,1054.0,0.0
B01,1055.0,0.0
B01,1056.0,0.0
B01,1057.0,0.0
B01,1058.0,0.0
B01,1059.0,0.0
B01,1060.0,0.0
B01,1061.0,0.0
B01,1062.0,0.0
B01,1063.0,0.0
B01,1064.0,0.0
B01,1065.0,0.0
B01,1066.0,0.0
B01,1067.0,0.0
B01,1068.0,0.0
B01,1069.0,0.0
B01,1070.0,0.0
B01,1071.0,0.0
B01,1072.0,0.0
B01,1073.0,0.0
B01,1074.0,0.0
B01,1075.0,0.0
B01,1076.0,0.0
B01,1077.0,0.0
B01,1078.0,0.0
B01,1079.0,0.0
B01,1080.0,0.0
B01,1081.0,0.0
B01,1082.0,0.0
B01,1083.0,0.0
B01,1084.0,0.0
B01,1085.0,0.0
B01,1086.0,0.0
B01,1087.0,0.0
B01,1088.0,0.0
B01,1089.0,0.0
B01,1090.0,0.0
B01,1091.0,0.0
B01,1092.0,0.0
B01,1093.0,0.0
B01,1094.0,0.0
B01,1095.0,0.0
B01,1096.0,0.0
B01,1097.0,0.0
B01,1098.0,0.0
B01,1099.0,0.0
B01,1100.0,0.0
B01,1101.0,0.0
B01,1102.0,0.0
B01,1103.0,0.0
