Band Number, Nominal Center Wavelength (int), Center Wavelength, Width (FWHM), Solar Irradiance, Rayleigh Optical Thickness, Depolarization Factor, k_oz (Ozone), k_no2 (NO2)
, nm, nm, nm, W/m^2/um/sr,,,,
  1, 315,     314.550,       4.060,    1123.287,   4.880E-01,   3.000E-02,   4.222E-01,   3.282E-19
  2, 316,     316.239,       5.034,     926.733,   6.491E-01,   3.062E-02,   5.817E-01,   2.960E-19
  3, 318,     318.262,       4.580,     852.083,   7.410E-01,   3.099E-02,   5.479E-01,   2.844E-19
  4, 320,     320.303,       4.725,     821.005,   7.807E-01,   3.116E-02,   4.616E-01,   2.833E-19
  5, 322,     322.433,       4.842,     806.917,   7.906E-01,   3.121E-02,   3.551E-01,   2.898E-19
  6, 325,     324.649,       4.844,     863.291,   7.916E-01,   3.123E-02,   2.573E-01,   3.019E-19
  7, 327,     326.828,       4.637,     959.253,   7.891E-01,   3.124E-02,   1.911E-01,   3.132E-19
  8, 329,     328.988,       4.507,    1014.784,   7.699E-01,   3.118E-02,   1.387E-01,   3.251E-19
  9, 331,     331.305,       5.671,    1017.877,   7.403E-01,   3.108E-02,   9.848E-02,   3.418E-19
 10, 334,     333.958,       5.932,     981.280,   7.205E-01,   3.101E-02,   6.838E-02,   3.572E-19
 11, 337,     336.815,       4.916,     937.186,   7.113E-01,   3.099E-02,   4.408E-02,   3.736E-19
 12, 339,     339.160,       4.563,     956.561,   7.034E-01,   3.098E-02,   3.080E-02,   3.962E-19
 13, 341,     341.321,       4.760,     976.423,   6.897E-01,   3.093E-02,   2.060E-02,   4.075E-19
 14, 344,     343.632,       4.900,     951.002,   6.719E-01,   3.087E-02,   1.437E-02,   4.137E-19
 15, 346,     346.017,       5.029,     931.335,   6.529E-01,   3.081E-02,   9.896E-03,   4.394E-19
 16, 348,     348.468,       5.006,     951.374,   6.343E-01,   3.074E-02,   6.055E-03,   4.610E-19
 17, 351,     350.912,       4.999,     992.550,   6.162E-01,   3.068E-02,   4.543E-03,   4.617E-19
 18, 353,     353.344,       5.016,    1030.928,   5.988E-01,   3.062E-02,   3.470E-03,   4.769E-19
 19, 356,     355.782,       4.994,     991.770,   5.823E-01,   3.056E-02,   2.504E-03,   5.022E-19
 20, 358,     358.235,       5.069,     932.902,   5.642E-01,   3.049E-02,   2.290E-03,   5.092E-19
 21, 361,     360.695,       4.975,     970.474,   5.472E-01,   3.043E-02,   2.103E-03,   5.116E-19
 22, 363,     363.137,       5.049,    1055.187,   5.320E-01,   3.037E-02,   1.733E-03,   5.329E-19
 23, 366,     365.610,       5.074,    1146.512,   5.178E-01,   3.032E-02,   1.408E-03,   5.538E-19
 24, 368,     368.083,       5.047,    1195.968,   5.044E-01,   3.027E-02,   1.276E-03,   5.558E-19
 25, 371,     370.534,       4.943,    1160.767,   4.909E-01,   3.021E-02,   1.282E-03,   5.591E-19
 26, 373,     372.991,       5.089,    1075.576,   4.773E-01,   3.016E-02,   1.340E-03,   5.745E-19
 27, 375,     375.482,       4.970,    1096.182,   4.629E-01,   3.011E-02,   1.276E-03,   5.837E-19
 28, 378,     377.926,       5.018,    1192.911,   4.513E-01,   3.006E-02,   1.106E-03,   5.862E-19
 29, 380,     380.419,       5.035,    1120.553,   4.407E-01,   3.002E-02,   1.158E-03,   5.944E-19
 30, 383,     382.876,       5.013,     972.428,   4.280E-01,   2.997E-02,   1.368E-03,   6.012E-19
 31, 385,     385.359,       5.015,     972.330,   4.157E-01,   2.992E-02,   1.383E-03,   6.038E-19
 32, 388,     387.811,       5.028,    1074.365,   4.051E-01,   2.988E-02,   1.255E-03,   6.130E-19
 33, 390,     390.297,       4.997,    1127.814,   3.955E-01,   2.984E-02,   1.195E-03,   6.225E-19
 34, 393,     392.764,       5.025,    1065.936,   3.857E-01,   2.980E-02,   1.258E-03,   6.191E-19
 35, 395,     395.238,       5.035,    1056.084,   3.747E-01,   2.975E-02,   1.276E-03,   6.156E-19
 36, 398,     397.706,       4.984,    1269.926,   3.647E-01,   2.971E-02,   1.084E-03,   6.327E-19
 37, 400,     400.178,       5.078,    1568.890,   3.564E-01,   2.967E-02,   9.434E-04,   6.340E-19
 38, 403,     402.654,       4.986,    1705.864,   3.486E-01,   2.964E-02,   9.310E-04,   6.155E-19
 39, 405,     405.127,       5.048,    1692.479,   3.400E-01,   2.960E-02,   9.755E-04,   6.014E-19
 40, 408,     407.605,       5.016,    1693.430,   3.315E-01,   2.956E-02,   1.064E-03,   6.098E-19
 41, 410,     410.074,       5.043,    1733.911,   3.233E-01,   2.953E-02,   1.143E-03,   6.224E-19
 42, 413,     412.557,       5.041,    1779.381,   3.155E-01,   2.949E-02,   1.156E-03,   6.160E-19
 43, 415,     415.025,       5.070,    1789.013,   3.079E-01,   2.946E-02,   1.215E-03,   5.857E-19
 44, 418,     417.512,       5.033,    1765.836,   3.005E-01,   2.943E-02,   1.324E-03,   5.698E-19
 45, 420,     419.988,       5.040,    1756.335,   2.932E-01,   2.939E-02,   1.447E-03,   5.927E-19
 46, 422,     422.453,       5.047,    1746.290,   2.863E-01,   2.936E-02,   1.773E-03,   6.055E-19
 47, 425,     424.940,       5.039,    1712.806,   2.796E-01,   2.933E-02,   2.152E-03,   5.794E-19
 48, 427,     427.398,       5.041,    1623.013,   2.732E-01,   2.930E-02,   2.242E-03,   5.469E-19
 49, 430,     429.885,       5.041,    1539.350,   2.664E-01,   2.927E-02,   2.291E-03,   5.332E-19
 50, 432,     432.379,       5.084,    1612.123,   2.597E-01,   2.924E-02,   2.493E-03,   5.451E-19
 51, 435,     434.869,       5.052,    1741.128,   2.539E-01,   2.921E-02,   2.645E-03,   5.547E-19
 52, 437,     437.351,       5.050,    1781.812,   2.482E-01,   2.918E-02,   3.022E-03,   5.356E-19
 53, 440,     439.828,       5.066,    1820.512,   2.424E-01,   2.915E-02,   3.903E-03,   4.971E-19
 54, 442,     442.327,       5.061,    1905.603,   2.368E-01,   2.912E-02,   4.602E-03,   4.727E-19
 55, 445,     444.811,       5.081,    1953.242,   2.315E-01,   2.910E-02,   4.591E-03,   4.945E-19
 56, 447,     447.309,       5.066,    1994.131,   2.261E-01,   2.907E-02,   4.548E-03,   5.110E-19
 57, 450,     449.795,       5.018,    2052.972,   2.211E-01,   2.905E-02,   4.969E-03,   4.801E-19
 58, 452,     452.280,       5.036,    2052.236,   2.162E-01,   2.902E-02,   5.370E-03,   4.441E-19
 59, 455,     454.769,       5.060,    2044.416,   2.114E-01,   2.900E-02,   5.947E-03,   4.252E-19
 60, 457,     457.262,       5.051,    2063.445,   2.067E-01,   2.897E-02,   7.421E-03,   4.264E-19
 61, 460,     459.757,       5.061,    2074.774,   2.022E-01,   2.895E-02,   9.302E-03,   4.351E-19
 62, 462,     462.252,       5.028,    2081.896,   1.977E-01,   2.892E-02,   1.011E-02,   4.326E-19
 63, 465,     464.737,       5.064,    2060.878,   1.935E-01,   2.890E-02,   9.684E-03,   4.063E-19
 64, 467,     467.244,       5.068,    2036.234,   1.893E-01,   2.888E-02,   9.648E-03,   3.692E-19
 65, 470,     469.729,       5.041,    2035.838,   1.852E-01,   2.886E-02,   1.043E-02,   3.441E-19
 66, 472,     472.202,       5.027,    2052.782,   1.812E-01,   2.884E-02,   1.116E-02,   3.581E-19
 67, 475,     474.700,       5.073,    2071.102,   1.774E-01,   2.881E-02,   1.242E-02,   3.800E-19
 68, 477,     477.189,       5.079,    2082.859,   1.736E-01,   2.879E-02,   1.528E-02,   3.580E-19
 69, 480,     479.689,       5.044,    2092.989,   1.700E-01,   2.877E-02,   1.895E-02,   3.337E-19
 70, 482,     482.183,       5.078,    2065.108,   1.665E-01,   2.875E-02,   2.123E-02,   3.022E-19
 71, 485,     484.689,       5.072,    1957.058,   1.631E-01,   2.873E-02,   2.113E-02,   2.725E-19
 72, 487,     487.182,       5.059,    1900.274,   1.595E-01,   2.871E-02,   2.039E-02,   2.938E-19
 73, 490,     489.674,       5.068,    1956.231,   1.562E-01,   2.870E-02,   2.100E-02,   3.043E-19
 74, 492,     492.176,       5.067,    1992.102,   1.530E-01,   2.868E-02,   2.224E-02,   2.853E-19
 75, 495,     494.686,       5.093,    2004.673,   1.499E-01,   2.866E-02,   2.354E-02,   2.822E-19
 76, 497,     497.182,       5.064,    1996.739,   1.469E-01,   2.864E-02,   2.613E-02,   2.498E-19
 77, 500,     499.688,       5.067,    1950.680,   1.440E-01,   2.862E-02,   3.087E-02,   2.021E-19
 78, 502,     502.190,       5.086,    1930.916,   1.410E-01,   2.861E-02,   3.665E-02,   2.151E-19
 79, 505,     504.695,       5.069,    1956.696,   1.382E-01,   2.859E-02,   4.082E-02,   2.385E-19
 80, 507,     507.198,       5.089,    1973.489,   1.355E-01,   2.857E-02,   4.179E-02,   2.315E-19
 81, 510,     509.720,       5.073,    1965.286,   1.328E-01,   2.856E-02,   4.101E-02,   2.296E-19
 82, 512,     512.213,       5.068,    1937.135,   1.302E-01,   2.854E-02,   4.110E-02,   2.156E-19
 83, 515,     514.729,       5.065,    1862.029,   1.277E-01,   2.852E-02,   4.274E-02,   1.773E-19
 84, 517,     517.219,       5.091,    1791.202,   1.252E-01,   2.851E-02,   4.504E-02,   1.597E-19
 85, 520,     519.747,       5.076,    1819.030,   1.227E-01,   2.849E-02,   4.767E-02,   1.620E-19
 86, 522,     522.249,       5.102,    1886.409,   1.203E-01,   2.848E-02,   5.135E-02,   1.625E-19
 87, 525,     524.771,       5.080,    1889.722,   1.180E-01,   2.846E-02,   5.655E-02,   1.755E-19
 88, 527,     527.276,       5.065,    1882.249,   1.158E-01,   2.845E-02,   6.292E-02,   1.771E-19
 89, 530,     529.798,       5.151,    1916.667,   1.137E-01,   2.843E-02,   6.883E-02,   1.592E-19
 90, 532,     532.314,       5.059,    1929.033,   1.114E-01,   2.842E-02,   7.264E-02,   1.422E-19
 91, 535,     534.859,       5.119,    1920.640,   1.092E-01,   2.841E-02,   7.422E-02,   1.167E-19
 92, 537,     537.346,       5.056,    1908.571,   1.072E-01,   2.839E-02,   7.488E-02,   1.024E-19
 93, 540,     539.878,       5.149,    1882.426,   1.052E-01,   2.838E-02,   7.665E-02,   1.097E-19
 94, 542,     542.395,       5.064,    1884.556,   1.032E-01,   2.837E-02,   7.989E-02,   1.240E-19
 95, 545,     544.904,       5.119,    1898.804,   1.013E-01,   2.835E-02,   8.325E-02,   1.296E-19
 96, 547,     547.441,       5.122,    1896.599,   9.940E-02,   2.834E-02,   8.591E-02,   1.237E-19
 97, 550,     549.994,       5.136,    1893.646,   9.756E-02,   2.833E-02,   8.809E-02,   1.129E-19
 98, 553,     552.511,       5.130,    1896.100,   9.575E-02,   2.831E-02,   9.044E-02,   9.908E-20
 99, 555,     555.044,       5.118,    1888.252,   9.400E-02,   2.830E-02,   9.359E-02,   8.267E-20
100, 558,     557.576,       5.110,    1858.080,   9.231E-02,   2.829E-02,   9.814E-02,   6.753E-20
101, 560,     560.104,       5.125,    1841.169,   9.062E-02,   2.828E-02,   1.041E-01,   6.706E-20
102, 563,     562.642,       5.132,    1848.573,   8.899E-02,   2.827E-02,   1.101E-01,   8.273E-20
103, 565,     565.190,       5.134,    1849.260,   8.737E-02,   2.826E-02,   1.152E-01,   8.819E-20
104, 568,     567.710,       5.124,    1843.250,   8.579E-02,   2.824E-02,   1.194E-01,   8.097E-20
105, 570,     570.259,       5.144,    1843.145,   8.424E-02,   2.823E-02,   1.231E-01,   8.258E-20
106, 573,     572.796,       5.113,    1857.454,   8.273E-02,   2.822E-02,   1.258E-01,   7.445E-20
107, 575,     575.343,       5.183,    1858.542,   8.131E-02,   2.821E-02,   1.262E-01,   5.359E-20
108, 578,     577.902,       5.141,    1842.735,   7.993E-02,   2.820E-02,   1.245E-01,   4.607E-20
109, 580,     580.450,       5.195,    1843.548,   7.850E-02,   2.819E-02,   1.217E-01,   4.637E-20
110, 583,     582.996,       5.141,    1845.249,   7.711E-02,   2.818E-02,   1.191E-01,   4.563E-20
111, 586,     585.553,       5.109,    1823.171,   7.581E-02,   2.817E-02,   1.175E-01,   4.880E-20
112, 588,     588.086,       5.099,    1784.836,   7.456E-02,   2.816E-02,   1.172E-01,   5.159E-20
113, 591,     590.548,       5.045,    1777.068,   7.336E-02,   2.815E-02,   1.186E-01,   5.765E-20
114, 593,     593.084,       5.039,    1797.441,   7.228E-02,   2.814E-02,   1.222E-01,   5.611E-20
115, 596,     595.679,       5.228,    1799.691,   7.117E-02,   2.813E-02,   1.275E-01,   4.249E-20
116, 598,     598.262,       5.382,    1783.598,   6.999E-02,   2.812E-02,   1.328E-01,   3.894E-20
117, 601,     600.871,       5.200,    1765.295,   6.881E-02,   2.811E-02,   1.363E-01,   3.953E-20
118, 603,     603.299,       4.696,    1764.426,   6.771E-02,   2.810E-02,   1.368E-01,   3.049E-20
119, 606,     605.504,       4.674,    1765.390,   6.698E-02,   2.810E-02,   1.346E-01,   2.290E-20
120, 601,     600.545,       4.659,    1763.339,   6.757E-02,   2.811E-02,   1.365E-01,   3.874E-20
121, 603,     602.920,       5.004,    1761.028,   6.651E-02,   2.810E-02,   1.374E-01,   3.034E-20
122, 605,     605.461,       5.119,    1764.624,   6.543E-02,   2.809E-02,   1.353E-01,   2.076E-20
123, 608,     607.986,       4.797,    1747.181,   6.437E-02,   2.808E-02,   1.310E-01,   1.990E-20
124, 610,     610.360,       4.709,    1723.488,   6.335E-02,   2.807E-02,   1.256E-01,   2.700E-20
125, 613,     612.730,       4.860,    1702.588,   6.236E-02,   2.806E-02,   1.202E-01,   3.487E-20
126, 615,     615.145,       4.881,    1679.577,   6.137E-02,   2.806E-02,   1.152E-01,   3.541E-20
127, 618,     617.605,       4.922,    1677.765,   6.038E-02,   2.805E-02,   1.107E-01,   3.181E-20
128, 620,     620.061,       4.930,    1689.491,   5.942E-02,   2.804E-02,   1.070E-01,   2.798E-20
129, 623,     622.530,       4.934,    1675.090,   5.848E-02,   2.803E-02,   1.038E-01,   2.439E-20
130, 625,     624.988,       4.875,    1658.361,   5.754E-02,   2.802E-02,   1.007E-01,   2.069E-20
131, 627,     627.434,       4.910,    1664.492,   5.663E-02,   2.802E-02,   9.740E-02,   1.634E-20
132, 630,     629.898,       4.935,    1659.156,   5.575E-02,   2.801E-02,   9.400E-02,   1.319E-20
133, 632,     632.376,       4.920,    1642.166,   5.486E-02,   2.800E-02,   9.046E-02,   1.304E-20
134, 635,     634.830,       4.921,    1637.164,   5.400E-02,   2.799E-02,   8.676E-02,   1.402E-20
135, 637,     637.305,       4.966,    1635.283,   5.316E-02,   2.799E-02,   8.287E-02,   1.464E-20
136, 640,     639.791,       4.948,    1620.464,   5.234E-02,   2.798E-02,   7.890E-02,   1.583E-20
137, 641,     641.029,       4.915,    1612.150,   5.193E-02,   2.798E-02,   7.696E-02,   1.681E-20
138, 642,     642.255,       4.877,    1606.369,   5.152E-02,   2.797E-02,   7.512E-02,   1.768E-20
139, 643,     643.479,       4.925,    1603.579,   5.112E-02,   2.797E-02,   7.339E-02,   1.849E-20
140, 645,     644.716,       4.976,    1602.313,   5.073E-02,   2.796E-02,   7.176E-02,   1.919E-20
141, 646,     645.966,       4.958,    1598.921,   5.034E-02,   2.796E-02,   7.021E-02,   1.946E-20
142, 647,     647.188,       4.938,    1592.574,   4.995E-02,   2.796E-02,   6.871E-02,   1.898E-20
143, 648,     648.435,       4.924,    1587.246,   4.956E-02,   2.795E-02,   6.727E-02,   1.756E-20
144, 650,     649.667,       4.950,    1583.321,   4.918E-02,   2.795E-02,   6.588E-02,   1.544E-20
145, 651,     650.913,       4.979,    1582.673,   4.880E-02,   2.795E-02,   6.453E-02,   1.328E-20
146, 652,     652.153,       4.941,    1577.862,   4.843E-02,   2.794E-02,   6.321E-02,   1.167E-20
147, 653,     653.388,       4.919,    1551.755,   4.807E-02,   2.794E-02,   6.193E-02,   1.068E-20
148, 655,     654.622,       4.939,    1516.962,   4.771E-02,   2.794E-02,   6.060E-02,   9.722E-21
149, 656,     655.869,       4.968,    1484.579,   4.733E-02,   2.793E-02,   5.922E-02,   8.805E-21
150, 657,     657.101,       4.977,    1476.927,   4.695E-02,   2.793E-02,   5.782E-02,   7.987E-21
151, 658,     658.340,       4.996,    1496.650,   4.658E-02,   2.793E-02,   5.648E-02,   7.170E-21
152, 660,     659.600,       5.007,    1525.083,   4.623E-02,   2.792E-02,   5.523E-02,   6.329E-21
153, 661,     660.833,       4.951,    1548.876,   4.590E-02,   2.792E-02,   5.404E-02,   5.541E-21
154, 662,     662.067,       4.963,    1554.208,   4.555E-02,   2.792E-02,   5.283E-02,   4.976E-21
155, 663,     663.300,       4.990,    1552.881,   4.521E-02,   2.791E-02,   5.159E-02,   4.897E-21
156, 665,     664.564,       4.980,    1549.957,   4.487E-02,   2.791E-02,   5.029E-02,   5.478E-21
157, 666,     665.795,       4.962,    1547.015,   4.453E-02,   2.791E-02,   4.895E-02,   6.640E-21
158, 667,     667.023,       4.953,    1543.966,   4.420E-02,   2.790E-02,   4.759E-02,   7.980E-21
159, 668,     668.263,       4.990,    1540.319,   4.387E-02,   2.790E-02,   4.622E-02,   9.022E-21
