band_index,band_id,center_wavelength_nm,fwhm_nm
1,B01,483.0,15.82
2,B02,489.0,16.2
3,B03,497.0,16.58
4,B04,504.0,16.97
5,B05,511.0,17.37
6,B06,518.0,17.78
7,B07,526.0,18.19
8,B08,533.0,18.61
9,B09,541.0,19.03
10,B10,549.0,19.46
11,B11,557.0,19.9
12,B12,565.0,20.34
13,B13,573.0,20.79
14,B14,581.0,21.24
15,B15,589.0,21.7
16,B16,598.0,22.17
17,B17,607.0,22.64
18,B18,615.0,23.12
19,B19,690.0,27.22
20,B20,700.0,27.77
21,B21,710.0,28.31
22,B22,720.0,28.88
23,B23,730.0,29.45
24,B24,741.0,30.03
25,B25,752.0,30.62
26,B26,762.0,31.21
27,B27,773.0,31.82
28,B28,785.0,32.43
29,B29,796.0,33.05
30,B30,807.0,33.68
31,B31,819.0,34.33
32,B32,831.0,34.97
